4.42,4.429,4.648,4.0231
4.294,4.296,4.523,3.9033
4.294,4.304,4.511,3.8918
4.234,4.264,4.461,3.8651
4.235,4.268,4.469,3.8311
4.261,4.294,4.493,3.7822
4.201,4.258,4.442,3.8215
4.205,4.27,4.467,3.8837
4.2,4.268,4.462,3.7835
4.16,4.226,4.412,3.7647
4.131,4.202,4.386,3.6751
4.083,4.167,4.346,3.7345
4.076,4.155,4.331,3.6211
4.076,4.151,4.329,3.6297
4.019,4.093,4.282,3.6296
4.103,4.178,4.374,3.4332
4.005,4.081,4.285,3.598
4.115,4.189,4.404,3.7018
4.096,4.173,4.381,3.5494
4.072,4.142,4.33,3.5806
4.119,4.192,4.38,3.6769
4.142,4.216,4.401,3.6656
4.054,4.132,4.311,3.5931
4.032,4.111,4.285,3.5926
4.045,4.119,4.302,3.6444
3.963,4.031,4.229,3.5701
4.011,4.085,4.28,3.5885
3.995,4.061,4.264,3.7569
3.973,4.04,4.239,3.6428
3.979,4.043,4.25,3.6144
4.063,4.133,4.33,3.6579
4.07,4.135,4.334,3.7282
4.121,4.169,4.378,3.8163
4.079,4.12,4.346,3.7686
4.138,4.171,4.395,3.7686
4.116,4.152,4.379,3.8959
4.148,4.195,4.423,3.8902
4.131,4.191,4.414,3.7706
4.124,4.188,4.417,3.8015
4.156,4.231,4.469,3.8964
4.193,4.264,4.503,3.8596
4.203,4.275,4.515,3.8481
4.11,4.168,4.427,3.6697
4.008,4.064,4.328,3.5092
3.994,4.052,4.327,3.5468
3.977,4.027,4.324,3.6242
4.081,4.113,4.435,3.668
4.038,4.077,4.413,3.5826
4.033,4.087,4.43,3.5317
3.957,4.029,4.379,3.4549
3.981,4.073,4.395,3.5921
3.955,4.049,4.371,3.4604
3.96,4.056,4.383,3.5261
3.934,4.139,4.36,3.4679
3.908,4.125,4.334,3.3061
3.996,4.186,4.366,3.4828
3.966,4.148,4.322,3.3282
3.955,4.128,4.314,3.3336
3.957,4.135,4.313,3.3335
3.958,4.136,4.302,3.5563
4.08,4.231,4.42,3.5053
4.097,4.246,4.434,3.4602
4.143,4.282,4.471,3.528
4.148,4.27,4.461,3.4414
4.11,4.223,4.421,3.4096
4.165,4.273,4.439,3.5583
4.178,4.27,4.444,3.5963
4.177,4.287,4.464,3.5773
4.137,4.253,4.426,3.4657
4.252,4.325,4.482,3.5356
4.254,4.335,4.511,3.5564
4.235,4.319,4.497,3.4807
4.225,4.309,4.487,3.5394
4.144,4.231,4.404,3.4694
4.142,4.23,4.43,3.5109
4.202,4.292,4.497,3.6003
4.278,4.371,4.571,3.6886
4.314,4.407,4.593,3.7273
4.36,4.45,4.606,3.7061
4.332,4.425,4.589,3.7255
4.357,4.445,4.63,3.6908
4.354,4.44,4.629,3.7314
4.392,4.477,4.672,3.8249
4.383,4.447,4.648,3.8703
4.409,4.467,4.66,3.8252
4.35,4.413,4.601,3.8194
4.328,4.389,4.577,3.7279
4.317,4.379,4.57,3.763
4.394,4.46,4.632,3.8551
4.353,4.42,4.59,3.867
4.331,4.393,4.576,3.9164
4.366,4.43,4.593,3.8475
4.261,4.33,4.518,3.7748
4.208,4.284,4.479,3.7692
4.229,4.31,4.503,3.7974
4.311,4.39,4.56,3.9131
4.379,4.449,4.617,3.9112
4.406,4.466,4.647,3.8144
4.361,4.417,4.6,3.8446
4.408,4.467,4.645,3.8294
4.377,4.439,4.626,3.7746
4.447,4.501,4.694,3.8067
4.471,4.53,4.719,3.9111
4.451,4.501,4.708,3.8425
4.468,4.517,4.724,3.8425
4.488,4.539,4.753,3.9188
4.528,4.571,4.798,4.0033
4.616,4.647,4.885,4.075
4.592,4.62,4.857,4.0595
4.537,4.576,4.814,3.9571
4.611,4.658,4.881,3.8939
4.572,4.619,4.841,3.9764
4.653,4.713,4.918,4.0383
4.607,4.687,4.914,3.9092
4.699,4.78,5.028,3.9977
4.729,4.81,5.072,4.1027
4.757,4.836,5.081,4.0735
4.797,4.884,5.121,4.2108
4.825,4.926,5.182,4.2565
4.815,4.918,5.178,4.2666
4.789,4.902,5.149,4.1973
4.785,4.889,5.128,4.1363
4.844,4.93,5.179,4.2073
4.79,4.888,5.14,4.1641
4.771,4.866,5.133,4.1641
4.778,4.871,5.149,4.0818
4.786,4.882,5.149,4.0994
4.703,4.791,5.072,4.033
4.712,4.803,5.092,3.9652
4.81,4.901,5.171,3.969
4.791,4.882,5.151,4.002
4.834,4.918,5.169,3.9575
4.741,4.831,5.075,3.975
4.688,4.774,5.014,3.975
4.627,4.715,4.955,3.8995
4.628,4.716,4.949,3.8822
4.618,4.687,4.936,3.8112
4.602,4.672,4.932,3.7959
4.629,4.709,4.949,3.9576
4.594,4.682,4.931,3.8553
4.592,4.695,4.942,3.8188
4.603,4.714,4.95,3.9344
4.66,4.773,4.997,3.9907
4.785,4.898,5.111,4.0828
4.823,4.953,5.152,4.0416
4.816,4.946,5.152,4.0987
4.823,4.949,5.165,4.1165
4.732,4.868,5.085,3.9968
4.78,4.91,5.131,4.0969
4.693,4.831,5.047,4.0008
