ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
XS0625977987;Allemagne;Corporate;6;;WUERTH FINANCE INTL BV;;poche_obligations;Obligations_credit;Obligations_credit;25/05/2018;25/05/2018;WURTH 3 3/4 05/25/18;3.75;1;25/05/2012;;25/08/2014;1;25/05/2018;;0;0;0
XS1046237431;UK;Finance;8;;YORKSHIRE BUILDING SOC;;poche_obligations;Obligations_credit;Obligations_credit;18/03/2019;18/03/2019;YBS 2 1/8 03/18/19;2.125;1;18/03/2015;;25/08/2014;1;18/03/2019;;0;0;0
XS0979598207;Autre;Corporate;8;;ZAPADOSLOVENSKA ENRG AS;;poche_obligations;Obligations_credit;Obligations_credit;14/10/2018;14/10/2018;ZAPAEN 2 7/8 10/14/18;2.875;1;14/10/2014;;25/08/2014;1;14/10/2018;;0;0;0
XS1148166710;Suisse;Finance;6;;Zurich Ins.;;poche_obligations;Obligations_credit;Obligations_credit;04/12/2019;04/12/2019;ZURNVX 0.848 12/04/19;0.848;1;04/12/2015;;25/08/2014;1;04/12/2019;;0;0;0
ES0000012411;Espagne;poche_obligation;9;;BONOS Y OBLIG DEL ESTADO;;poche_obligations;Obligations_govies;Obligations_govies_nominales;30/07/2032;30/07/2032;SPGB 5 3/4 07/30/32;5.75;1;30/07/2003;;25/08/2014;1;30/07/2032;;0;0;0
IT0003685093;Italie;poche_obligation;9;;ITALY;;poche_obligations;Obligations_govies;Obligations_govies_nominales;31/07/2034;31/07/2034;ITALY 5.2 07/31/34;5.2;1;31/07/2005;;25/08/2014;1;31/07/2034;;0;0;0
XS1180157544;Italie;poche_obligation;9;;ITALY;;poche_obligations;Obligations_govies;Obligations_govies_nominales;02/02/2028;02/02/2028;ITALY 1.862 02/02/28;1.862;1;02/02/2016;;25/08/2014;1;02/02/2028;;0;0;0
XS0433152690;USA;Corporate;6;;MCDONALD;;poche_obligations;Obligations_credit;Obligations_credit;10/06/2016;10/06/2016;MCD 4 1/4 06/10/16;4.25;1;10/06/2010;;25/08/2014;1;10/06/2016;;0;0;0
XS1195201931;France;Corporate;7;5;Total;T2;poche_obligations;Obligations_credit;Obligations_credit;29/12/2049;26/02/2021;Total 2 1/4 Perp;2.25;1;26/02/2016;;24/06/2015;2.609999895;26/02/2021;Y;0;0;0
DE000A1RE1Q3;Allemagne;Finance;6;;Allianz;NS;poche_obligations;Obligations_credit;Obligations_credit;17/10/2042;17/10/2022;Allianz 5 5/8   2042-22;5.625;1;17/10/2013;;01/04/2015;1.917400002;17/10/2022;Y;0;0;0
